|   Work PC     | Personal PC |
| approx 22s    | approx ??s  | test_17 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> in pch.h; one instance in pch.h
| approx 22s    | approx ??s  | test_18 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> in pch.h; one instance in 10%h
| approx 27s    | approx ??s  | test_19 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> in pch.h; one instance in 95%h
|               |             |
|               |             | Multi Template tests
|               |             | -----------------------------
| approx 20s    | approx ??s  | test_20 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - 9 structs in pch.h
| approx 20s    | approx ??s  | test_21 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - 99 structs in pch.h
| approx 20s    | approx ??s  | test_22 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - 999 structs in pch.h
|               |             |
| approx 20s    | approx ??s  | test_23 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> and 9 structs in pch.h; 9 instances in pch.h
| approx 24s    | approx ??s  | test_24 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> and 99 structs in pch.h; 9 instances in 10%h
| approx 47s    | approx ??s  | test_25 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> and 999 structs in pch.h; 9 instances in 95%h
|               |             |
| approx 21s    | approx ??s  | test_26 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> and 99 structs in pch.h; 99 instances in pch.h
| approx 42s    | approx ??s  | test_27 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> and 99 structs in pch.h; 99 instances in 10%h
| approx 3m56s  | approx ??s  | test_28 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> and 99 structs in pch.h; 99 instances in 95%h
|               |             |
| approx 29s    | approx ??s  | test_29 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> and 999 structs in pch.h; 999 instances in pch.h
| approx 4m26s  | approx ??s  | test_30 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> and 999 structs in pch.h; 999 instances in 10%h
| approx 44m17s | approx ??s  | test_31 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> and 999 structs in pch.h; 999 instances in 95%h
|               |             |
|               |             |
|               |             | Multi Template tests using "soft declaration" (pointers)
|               |             | ------------------------------
| approx 21s    | approx ??s  | test_32 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> and 9 structs in pch.h; 9 "soft" instances in pch.h
| approx 22s    | approx ??s  | test_33 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> and 9 structs in pch.h; 9 "soft" instances in 10%h
| approx 21s    | approx ??s  | test_34 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> and 9 structs in pch.h; 9 "soft" instances in 95%h
|               |             |            
| approx 21s    | approx ??s  | test_35 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> and 99 structs in pch.h; 99 "soft" instances in pch.h
| approx 21s    | approx ??s  | test_36 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> and 99 structs in pch.h; 99 "soft" instances in 10%h
| approx 25s    | approx ??s  | test_37 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> and 99 structs in pch.h; 99 "soft" instances in 95%h
|               |             |
| approx 22s    | approx ??s  | test_38 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> and 999 structs in pch.h; 999 "soft" instances in pch.h
| approx 23s    | approx ??s  | test_39 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> and 999 structs in pch.h; 999 "soft" instances in 10%h
| approx 41s    | approx ??s  | test_40 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> and 999 structs in pch.h; 999 "soft" instances in 95%h
|               |             |
| approx 20s    | approx ??s  | test_41 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - forward declare std::vector and 9 structs in pch.h; 9 "soft" instances in pch.h
| approx 21s    | approx ??s  | test_42 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - forward declare std::vector and 9 structs in pch.h; 9 "soft" instances in 10%h
| approx 21s    | approx ??s  | test_43 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - forward declare std::vector and 9 structs in pch.h; 9 "soft" instances in 95%h
|               |             |
| approx 20s    | approx ??s  | test_44 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - forward declare std::vector and 99 structs in pch.h; 99 "soft" instances in pch.h
| approx 21s    | approx ??s  | test_45 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - forward declare std::vector and 99 structs in pch.h; 99 "soft" instances in 10%h
| approx 23s    | approx ??s  | test_46 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - forward declare std::vector and 99 structs in pch.h; 99 "soft" instances in 95%h
|               |             |
| approx 20s    | approx ??s  | test_47 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - forward declare std::vector and 999 structs in pch.h; 999 "soft" instances in pch.h
| approx 22s    | approx ??s  | test_48 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - forward declare std::vector and 999 structs in pch.h; 999 "soft" instances in 10%h
| approx 38s    | approx ??s  | test_49 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - forward declare std::vector and 999 structs in pch.h; 999 "soft" instances in 95%h


Notes:
-If the instances are in the precompiled header: they are evaluated once therefore a file that is in the precompiled header and includes a template it's cost is not as big
-Including vector across many files is worse than including it once in the precompiled header, so, though the forward declarations are superior, the precompiled header does the work anyway.
-Putting the include in the precompiled is equivalent to using forward declared definitions
